name,prefix_1,prefix_2,city
Boston Celtics,bos,boston-celtics,Boston
Brooklyn Nets,bkn,brooklyn-nets, Brooklyn
New York Knicks,ny,new-york-knicks,New York
Philadelphia 76ers,phi,philadelphia-76ers,Philadelphia
Toronto Raptors,tor,toronto-raptors,Toronto
Golden State Warriors,gs,golden-state-warriors,Los Angeles
Los Angeles Clippers,lac,los-angeles-clippers,Los Angeles
Los Angeles Lakers,lal,los-angeles-lakers,Los Angeles
Phoenix Suns,phx,phoenix-suns,Phoenix
Sacramento Kings,sac,sacramento-kings,Sacramento
Chicago Bulls,chi,chicago-bulls,Chicago
Cleveland Cavaliers,cle,cleveland-cavaliers,Cleveland
Detroit Pistons,det,detroit-pistons,Detroit
Indiana Pacers,ind,indiana-pacers,Indiana
Milwaukee Bucks,mil,milwaukee-bucks,Milwaukee
Dallas Mavericks,dal,dallas-mavericks,Dallas
Houston Rockets,hou,houston-rockets,Houston
Memphis Grizzlies,mem,memphis-grizzlies,Memphis
New Orleans Hornets,no,new-orleans-hornets,New Orleans
San Antonio Spurs,sa,san-antonio-spurs,San Antonio
Atlanta Hawks,atl,atlanta-hawks,Atlanta
Charlotte Bobcats,cha,charlotte-bobcats,Charlotte
Miami Heat,mia,miami-heat,Miami
Orlando Magic,orl,orlando-magic,Orlando
Washington Wizards,wsh,washington-wizards,Washington
Denver Nuggets,den,denver-nuggets,Denver
Minnesota Timberwolves,min,minnesota-timberwolves,Minnesota
Oklahoma City Thunder,okc,oklahoma-city-thunder,Oklahoma
Portland Trail Blazers,por,portland-trail-blazers,Portland
Utah Jazz,uta,utah-jazz,Utah